train_loss,val_loss,train_acc,val_acc,lr
0.6604681105840774,0.5823901030752394,0.5666666666666667,0.8222222222222222,0.0001
0.4440449921857743,0.37964188920127023,0.780952380952381,0.9333333333333333,0.0001
0.3571364950566065,0.22053829630215963,0.8238095238095238,0.9111111111111111,0.0001
0.22669120686394828,0.16442321439584096,0.9047619047619048,0.9555555555555556,0.0001
0.20826671960807983,0.19246964984469944,0.919047619047619,0.9111111111111111,0.0001
0.1355049198582059,0.09701081746154361,0.9571428571428572,1.0,0.0001
0.13338892573402042,0.1466855694850286,0.9666666666666667,1.0,0.0001
0.07547451839560554,0.18810362219810486,0.9857142857142858,0.9555555555555556,0.0001
0.07848213825907026,0.24962276220321655,0.9761904761904762,0.9555555555555556,0.0001
0.05699644372576759,0.09150557633903292,0.9857142857142858,0.9777777777777777,0.0001
0.05289835458000501,0.039435396219293276,0.9952380952380953,1.0,0.0001
0.06503145623774756,0.019378298914266956,0.9809523809523809,1.0,0.0001
0.034152319317772274,0.016812788446744283,0.9904761904761905,1.0,0.0001
0.135054022641409,0.15748466634088093,0.9666666666666667,0.9555555555555556,0.0001
0.09706006121067774,0.14307423018746906,0.9809523809523809,0.9777777777777777,0.0001
0.07921424493903205,0.03510450292378664,0.9761904761904762,1.0,0.0001
0.03225011428197225,0.02754868088910977,0.9952380952380953,1.0,5e-05
0.04343630912758055,0.025838878668016856,0.9904761904761905,1.0,5e-05
0.04535718978870483,0.016141918405062624,0.9904761904761905,1.0,5e-05
0.026242436645996004,0.04065877786940998,1.0,1.0,5e-05
0.03574587816283816,0.022488447941011853,0.9952380952380953,1.0,5e-05
0.03725971288624264,0.029330993981824982,0.9904761904761905,1.0,5e-05
0.05335868190796603,0.010951494911892547,0.9904761904761905,1.0,5e-05
0.03558053026596705,0.010336148231807682,0.9952380952380953,1.0,5e-05
0.023603640195159686,0.01398415623439683,1.0,1.0,5e-05
0.10087300356300104,0.06146560162305832,0.9761904761904762,0.9777777777777777,5e-05
0.0439466125198773,0.08391310249765714,0.9904761904761905,0.9777777777777777,5e-05
0.033657479144278024,0.02472462130503522,0.9904761904761905,1.0,2.5e-05
0.05505972132086754,0.020454571727249356,0.9809523809523809,1.0,2.5e-05
0.045848917854683736,0.02904455970144934,0.9809523809523809,1.0,2.5e-05
0.01867794699612118,0.04762682045499484,1.0,1.0,2.5e-05
0.012547439904440016,0.07423006387220489,1.0,0.9777777777777777,1.25e-05
