train_loss,val_loss,train_acc,val_acc,lr
0.6094968676567077,0.399847674369812,0.6190476190476191,0.8888888888888888,0.0001
0.4149997824714297,0.20450610584682888,0.7857142857142857,0.9111111111111111,0.0001
0.29249945538384575,0.08973106841246287,0.8714285714285714,1.0,0.0001
0.23255381073270526,0.06334161940548155,0.919047619047619,1.0,0.0001
0.15726076676732018,0.08766461097531848,0.9333333333333333,0.9777777777777777,0.0001
0.1186274155264809,0.048043782305386334,0.9666666666666667,0.9555555555555556,0.0001
0.17835948396296727,0.04129148893472221,0.9571428571428572,0.9777777777777777,0.0001
0.10567287447906676,0.028983483587702117,0.9714285714285714,0.9777777777777777,0.0001
0.14788315097490948,0.02538422147432963,0.9428571428571428,0.9777777777777777,0.0001
0.1212202930734271,0.00800404002269109,0.9619047619047619,1.0,0.0001
0.11366924863486062,0.04022619326909383,0.9523809523809523,0.9777777777777777,0.0001
0.0752467127782958,0.03021486153205236,0.9619047619047619,1.0,0.0001
0.057232175873858586,0.21374059716860452,0.9761904761904762,0.9777777777777777,0.0001
0.09474554764372962,0.5272605814867549,0.9857142857142858,0.9555555555555556,5e-05
0.05615487950188773,0.18876110315322875,0.9809523809523809,0.9777777777777777,5e-05
0.036263770290783474,0.22049610432651306,0.9952380952380953,0.9555555555555556,5e-05
0.0565625908828917,0.1647042846514119,0.9809523809523809,0.9777777777777777,5e-05
0.06395663725478308,0.30276567894551487,0.9809523809523809,0.9555555555555556,2.5e-05
