train_loss,val_loss,train_acc,val_acc,lr
0.8425699182919093,0.7053259319729275,0.6,0.8,0.001
0.8191902217410859,0.6662578662236531,0.48095238095238096,0.4,0.001
0.859022113255092,0.7083353201548258,0.7142857142857143,0.6,0.001
0.773737721216111,0.6988768352402581,0.48095238095238096,0.8,0.001
0.7643225703920636,0.66141683128145,0.6571428571428571,0.8444444444444444,0.001
0.6776075715110416,0.6757642851935493,0.6476190476190476,0.6666666666666666,0.001
0.6806245094253903,0.6532572441630893,0.6714285714285714,0.8,0.001
0.6989606278283256,0.6549773653348286,0.6095238095238096,0.7111111111111111,0.001
0.7542526483535766,0.6591982894473606,0.6714285714285714,0.7333333333333333,0.001
0.6966824156897409,0.6541927403873867,0.6666666666666666,0.7777777777777778,0.001
0.6858430760247367,0.7089290685123868,0.6523809523809524,0.7333333333333333,0.0005
0.7358764353252593,0.6690741380055746,0.7142857142857143,0.7555555555555555,0.0005
0.6882486048198881,0.6511315411991543,0.6761904761904762,0.7777777777777778,0.0005
0.730425771077474,0.6623388051986694,0.7142857142857143,0.7777777777777778,0.0005
0.6878031912304107,0.6856817735566033,0.6476190476190476,0.6,0.0005
0.6872772211120242,0.6845155411296421,0.6619047619047619,0.8,0.0005
0.7006275103205726,0.6871693399217393,0.719047619047619,0.7777777777777778,0.00025
0.6803254209813617,0.6782134241527982,0.7142857142857143,0.7777777777777778,0.00025
0.6543257418132964,0.6578433619605171,0.7761904761904762,0.7777777777777778,0.00025
0.679600571450733,0.6617565393447876,0.719047619047619,0.8444444444444444,0.00025
0.6780454936481658,0.6584444840749105,0.7047619047619048,0.5333333333333333,0.000125
0.6945223626636323,0.6607733713255988,0.6095238095238096,0.5555555555555556,0.000125
0.6911300460497538,0.6672257542610168,0.6190476190476191,0.6444444444444445,0.000125
